# Corona lattice_ring NTT sweep (Q=0x1000000004a01 N=256, Apple silicon)
# Metal: ON | WGSL: Dawn (real WebGPU)
#
# polys	CPU/poly_us	Metal/poly_us	WGSL/poly_us	CPU/batch_us	Metal/batch_us	WGSL/batch_us	Metal_speedup	WGSL_speedup	iters
1	1.3571	1481.3618	2731.9228	1.36	1481.36	2731.92	0.001x	0.000x	2000
4	1.3380	505.2314	692.7828	5.35	2020.93	2771.13	0.003x	0.002x	2000
16	1.3598	186.5787	172.3772	21.76	2985.26	2758.04	0.007x	0.008x	2000
64	1.3554	89.5084	56.3136	86.75	5728.54	3604.07	0.015x	0.024x	2000
256	1.3539	23.5543	15.2922	346.59	6029.91	3914.81	0.057x	0.089x	1024
1024	1.4113	6.5490	4.5789	1445.17	6706.20	4688.74	0.215x	0.308x	256
2688	1.3786	3.1950	2.6479	3705.77	8588.15	7117.69	0.431x	0.521x	97
4096	1.5449	2.3217	2.2498	6328.00	9509.79	9215.33	0.665x	0.687x	64
16384	1.4938	1.1913	1.6806	24473.82	19518.02	27534.67	1.254x	0.889x	16
65536	1.3832	0.9337	1.5800	90652.03	61190.16	103545.52	1.481x	0.875x	4
